ispb,name,code,full_name
4257795,NOVA FUTURA CTVM LTDA.,191,NOVA FUTURA CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
4306351,INDEPENDÊNCIA CC,764,INDEPENDÊNCIA COOPERATIVA DE CRÉDITO E INVESTIMENTO - INDEPENDÊNCIA COOPERATIVA DE CRÉDITO
4307598,FIDUCIA SCMEPP LTDA,382,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA.
4332281,GOLDMAN SACHS DO BRASIL BM S.A,64,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.
4391007,CIP SA SITRAF,,CIP S.A
4632856,CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO,97,CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO
4715685,CCM DESP TRÂNS SC E RS,16,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CREDITRAN
4814563,BCO AFINZ S.A. - BM,299,BANCO AFINZ S.A. - BANCO MÚLTIPLO
4849745,HBI SCD,540,HBI SOCIEDADE DE CRÉDITO DIRETO S/A.
4862600,PORTOSEG S.A. CFI,468,"PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"
4866275,BANCO INBURSA,12,BANCO INBURSA S.A.
4902979,BCO DA AMAZONIA S.A.,3,BANCO DA AMAZONIA S.A.
4913129,CONFIDENCE CC S.A.,60,CONFIDENCE SOCIEDADE CORRETORA DE CAMBIO S.A.
4913711,BCO DO EST. DO PA S.A.,37,BANCO DO ESTADO DO PARÁ S.A.
5192316,VIA CERTA FINANCIADORA S.A. - CFI,411,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
5351887,ZEMA CFI S/A,359,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
5442029,CASA CREDITO S.A. SCM,159,CASA DO CRÉDITO S.A. SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR
5463212,COOPCENTRAL AILOS,85,COOPERATIVA CENTRAL DE CRÉDITO - AILOS
5491616,COOP CREDITAG - EM LIQUIDAÇÃO EXTRAJUDICIAL,400,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS - EM LIQUIDAÇÃO EXTRAJUDICIAL"
5684234,PLANNER SOCIEDADE DE CRÉDITO DIRETO,410,PLANNER SOCIEDADE DE CRÉDITO DIRETO S.A.
6249129,RPW S.A. SCFI,548,"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
6271464,BCO BBI S.A.,36,BANCO BRADESCO BBI S.A.
7138049,PICPAY INVEST,469,PICPAY INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
7207996,BCO BRADESCO FINANC. S.A.,394,BANCO BRADESCO FINANCIAMENTOS S.A.
7237373,BCO DO NORDESTE DO BRASIL S.A.,4,BANCO DO NORDESTE DO BRASIL S.A.
7253654,HEDGE INVESTMENTS DTVM LTDA.,458,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
7450604,BOC BRASIL,320,BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A
7512441,HS FINANCEIRA,189,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS"
7652226,LECCA CFI S.A.,105,"LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
7656500,BCO KDB BRASIL S.A.,76,BANCO KDB DO BRASIL S.A.
7679404,BANCO TOPÁZIO S.A.,82,BANCO TOPÁZIO S.A.
7693858,HSCM SCMEPP LTDA.,312,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
7799277,VALOR S/A SCFI,195,"VALOR S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
7945233,POLOCRED SCMEPP LTDA.,93,PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
8240446,CCR DE IBIAM,391,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM
8253539,COOP SULCREDI AMPLEA,273,COOPERATIVA DE CREDITO SULCREDI AMPLEA
8357240,BCO CSF S.A.,368,BANCO CSF S.A.
8482873,CCR DO AGRESTE ALAGOANO,673,COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE
8561701,PAGSEGURO INTERNET IP S.A.,290,PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.
8609934,MONEYCORP BCO DE CÂMBIO S.A.,259,MONEYCORP BANCO DE CÂMBIO S.A.
8673569,F D GOLD DTVM LTDA,395,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
9089356,EFÍ S.A. - IP,364,EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO
9105360,ICAP DO BRASIL CTVM LTDA.,157,ICAP DO BRASIL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
9210106,SOCRED SA - SCMEPP,183,SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE
9274232,STATE STREET BR S.A. BCO COMERCIAL,14,STATE STREET BRASIL S.A. - BANCO COMERCIAL
9313766,CARUANA SCFI,130,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
9464032,MIDWAY S.A. - SCFI,358,"MIDWAY S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
9512542,CODEPE CVC S.A.,127,CODEPE CORRETORA DE VALORES E CÂMBIO S.A.
9516419,PICPAY BANK - BANCO MÚLTIPLO S.A,79,PICPAY BANK - BANCO MÚLTIPLO S.A
9526594,MASTER BI S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,141,BANCO MASTER DE INVESTIMENTO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL
10264663,BANCOSEGURO S.A.,81,BANCOSEGURO S.A.
10371492,BCO YAMAHA MOTOR S.A.,475,BANCO YAMAHA MOTOR DO BRASIL S.A.
10398952,CRESOL CONFEDERAÇÃO,133,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO
10440482,GETNET IP,703,GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO
10573521,MERCADO PAGO IP LTDA.,323,MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.
10663610,AF DESENVOLVE SP S.A.,577,DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.
10664513,BCO AGIBANK S.A.,121,BANCO AGIBANK S.A.
10690848,BCO DA CHINA BRASIL S.A.,83,BANCO DA CHINA BRASIL S.A.
10789035,ATTRUS IP S/A,787,ATTRUS INSTITUIÇÃO DE PAGAMENTO S/A
10853017,GET MONEY CC LTDA.,138,GET MONEY SOCIEDADE CORRETORA DE CÂMBIO S.A.
10866788,BCO BANDEPE S.A.,24,BANCO BANDEPE S.A.
11165756,GLOBAL SCM LTDA,384,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
11285104,NEON FINANCEIRA - SCFI S.A.,426,"NEON FINANCEIRA - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A"
11351086,MERCADO BITCOIN IP LTDA,576,MERCADO BITCOIN INSTITUICAO DE PAGAMENTO LTDA
11476673,BANCO RANDON S.A.,88,BANCO RANDON S.A.
11491029,BSN,670,BSN PAGAMENTOS INSTITUIÇÃO DE PAGAMENTO LTDA
11495073,OM DTVM LTDA,319,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
11581339,BMP SCMEPP LTDA,274,BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.
11703662,BANCO TRAVELEX S.A.,95,BANCO TRAVELEX S.A.
11758741,BANCO FINAXIS,94,BANCO FINAXIS S.A.
11760553,GAZINCRED S.A. SCFI,478,"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
11970623,BCO SENFF S.A.,276,BANCO SENFF S.A.
12102128,SAFETYPAY BRASIL IP LTDA,780,SAFETYPAY BRASIL INSTITUICAO DE PAGAMENTO LTDA
12392983,MIRAE ASSET (BRASIL) CCTVM LTDA.,447,"MIRAE ASSET (BRASIL) CORRETORA DE CÂMBIO, TÍTULOS  E VALORES MOBILIÁRIOS LTDA."
12473687,CONTA PRONTA IP,569,CONTA PRONTA INSTITUICAO DE PAGAMENTO LTDA
12481100,BIZ IP LTDA.,686,BIZ INSTITUIÇÃO DE PAGAMENTO S.A.
13009717,BCO DO EST. DE SE S.A.,47,BANCO DO ESTADO DE SERGIPE S.A.
13059145,EBURY BCO DE CÂMBIO S.A.,144,EBURY BANCO DE CÂMBIO S.A.
13140088,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,332,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO
13203354,FITS IP,450,FITS INSTITUIÇÃO DE PAGAMENTO S.A.
13220493,BR PARTNERS BI,126,BR PARTNERS BANCO DE INVESTIMENTO S.A.
13370835,DOCK IP S.A.,301,DOCK INSTITUIÇÃO DE PAGAMENTO S.A.
13486793,APEX GROUP DTVM,173,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
13673855,OSLO CAPITAL DTVM SA,331,OSLO CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A
13720915,BCO WESTERN UNION,119,BANCO WESTERN UNION DO BRASIL S.A.
13884775,MAGALUPAY,396,MAGALUPAY INSTITUIÇÃO DE PAGAMENTO S.A.
13935893,CELCOIN IP S.A.,509,CELCOIN INSTITUICAO DE PAGAMENTO S.A.
14388334,PARANA BCO S.A.,254,PARANÁ BANCO S.A.
14511781,BARI CIA HIPOTECÁRIA,268,BARI COMPANHIA HIPOTECÁRIA
15111975,IUGU IP S.A.,401,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.
15114366,BCO BOCOM BBM S.A.,107,BANCO BOCOM BBM S.A.
15124464,BANCO BESA S.A.,334,BANCO BESA S.A.
15173776,SOCIAL BANK S/A,412,SOCIAL BANK BANCO MÚLTIPLO S/A
15357060,BCO WOORI BANK DO BRASIL S.A.,124,BANCO WOORI BANK DO BRASIL S.A.
15581638,FACTA S.A. CFI,149,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO
16501555,STONE IP S.A.,197,STONE INSTITUIÇÃO DE PAGAMENTO S.A.
16695922,ID CTVM,439,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
16814330,BK IP S.A.,690,BK INSTITUIÇÃO DE PAGAMENTO S.A.
16944141,BROKER BRASIL CC LTDA.,142,BROKER BRASIL CORRETORA DE CÂMBIO LTDA.
17079937,PINBANK IP,529,PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.
17157777,BCO NACIONAL,415,BANCO NACIONAL S.A.
17184037,BCO MERCANTIL DO BRASIL S.A.,389,BANCO MERCANTIL DO BRASIL S.A.
17351180,BCO TRIANGULO S.A.,634,BANCO TRIANGULO S.A.
17453575,ICBC DO BRASIL BM S.A.,132,ICBC DO BRASIL BANCO MÚLTIPLO S.A.
17772370,VIPS CC S.A.,298,VIPS CORRETORA DE CÂMBIO S.A.
17826860,BMS SCD S.A.,377,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.
18188384,CREFAZ SCMEPP SA,321,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE S.A.
18189547,CLOUDWALK IP LTDA,542,CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA
18236120,NU PAGAMENTOS - IP,260,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
18282093,OXY CH,573,OXY COMPANHIA HIPOTECÁRIA
18394228,CDC SCD S.A.,470,CDC SOCIEDADE DE CRÉDITO DIRETO S.A.
18520834,UBS BB BI S.A.,129,UBS BB BANCO DE INVESTIMENTO S.A.
18684408,AZIMUT BRASIL DTVM LTDA,562,AZIMUT BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
19307785,BRAZA BANK S.A. BCO DE CÂMBIO,128,BRAZA BANK S.A. BANCO DE CÂMBIO
19324634,LAMARA SCD S.A.,416,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.
19468242,IFOOD PAGO IP,595,IFOOD PAGO INSTITUIÇÃO DE PAGAMENTO S.A.
19540550,ASAAS IP S.A.,461,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.
20018183,STARK BANK S.A. - IP,665,STARK BANK S.A. - INSTITUICAO DE PAGAMENTO
20155248,UNIDA DTVM LTDA,194,UNIDA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
20251847,SUDACRED SCD S.A.,538,SUDACRED SOCIEDADE DE CRÉDITO DIRETO S.A.
20308187,AVANCARD PROVER IP LTDA,588,AVANCARD PROVER INSTITUIÇÃO DE PAGAMENTO LTDA
20443996,BECKER FINANCEIRA SA - CFI,768,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
20757199,PAY4FUN IP S.A.,561,PAY4FUN INSTITUICAO DE PAGAMENTO S.A.
20833992,CC MECUNP,772,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO CENTRO UNIVERSITÁRIO NEWTON PAIVA LTDA. - CREDIPAIVA
20855875,NEON PAGAMENTOS S.A. IP,536,NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
21018182,EBANX IP LTDA.,383,EBANX INSTITUICAO DE PAGAMENTOS LTDA.
21332862,CARTOS SCD S.A.,324,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.
21995256,MAG IP LTDA.,560,MAG INSTITUICAO DE PAGAMENTO LTDA
22575466,SRM BANK,533,SRM BANK INSTITUIÇÃO DE PAGAMENTO S/A
22610500,VORTX DTVM LTDA.,310,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
22896431,PICPAY,380,PICPAY INSTITUIÇÃO DE PAGAMENTO S.A.
23114447,FLAGSHIP IP LTDA,566,FLAGSHIP INSTITUICAO DE PAGAMENTO LTDA
23399607,CERC S.A.,,CERC S.A.
23862762,WILL FINANCEIRA S.A.CFI - EM LIQUIDAÇÃO EXTRAJUDICIAL,280,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO - EM LIQUIDAÇÃO EXTRAJUDICIAL"
24074692,GUITTA CC LTDA,146,GUITTA CORRETORA DE CAMBIO LTDA.
24313102,99PAY IP S.A.,769,99PAY INSTITUICAO DE PAGAMENTO S.A.
25104230,PAGARE IP S.A.,651,PAGARE INSTITUICAO DE PAGAMENTO S.A.
26264220,ZERO IP,671,ZERO INSTITUIÇÃO DE PAGAMENTO S.A.
26615279,TYCOON TECHNOLOGY IIP S.A,685,TYCOON TECHNOLOGY INSTITUICAO DE PAGAMENTO S.A
27084098,TRANSFEERA IP S.A.,593,TRANSFEERA INSTITUIÇÃO DE PAGAMENTO S.A
27098060,BANCO DIGIO,335,BANCO DIGIO S.A.
27214112,AL5 S.A. SCFI,349,"AL5 S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
27302181,CRED.UFES,427,COOPERATIVA DE CRÉDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO
27351731,REALIZE SCFI S.A.,374,"REALIZE SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
27652684,GENIAL INVESTIMENTOS CVM S.A.,278,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.
27842177,BPY CCTVM S.A.,271,"BPY CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A."
27970567,HINOVA PAY IP S.A.,674,HINOVA PAY INSTITUICAO DE PAGAMENTO S.A.
28127603,BCO BANESTES S.A.,21,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
28195667,BCO ABC BRASIL S.A.,246,BANCO ABC BRASIL S.A.
28650236,GALAPAGOS DTVM S.A.,292,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
28719664,BALCÃO B3,0,SISTEMA DO BALCÃO B3
28811341,BCO STONEX S.A.,554,BANCO STONEX S.A.
29011780,CIP SA C3,,CIP S.A
29030467,SCOTIABANK BRASIL,751,SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO
29162769,SANTANDER CTVM S.A.,352,SANTANDER CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
30306294,BANCO BTG PACTUAL S.A.,208,BANCO BTG PACTUAL S.A.
30498377,CSDBR,,CSD CENTRAL DE SERVICOS DE REGISTRO E DEPOSITO AOS MERCADOS FINANCEIRO E DE CAPITAIS S.A.
30507541,BRASIL CASH IP S.A.,683,BRASIL CASH INSTITUICAO DE PAGAMENTO S.A
30680829,NU FINANCEIRA S.A. CFI,386,"NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
30723871,CASAS BAHIA PAY IP LTDA.,675,CASAS BAHIA PAY INSTITUIÇÃO DE PAGAMENTO LTDA.
30944783,PAGPRIME IP,557,PAGPRIME INSTITUICAO DE PAGAMENTO LTDA
30980539,OKTO IP,546,OKTO INSTITUIÇÃO DE PAGAMENTO S.A.
31597552,BCO CLASSICO S.A.,241,BANCO CLASSICO S.A.
31680151,SWAP IP S.A.,783,SWAP INSTITUIÇÃO DE PAGAMENTO S.A.
31749596,IDEAL CTVM S.A.,398,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
31872495,BCO C6 S.A.,336,BANCO C6 S.A.
31880826,BCO GUANABARA S.A.,612,BANCO GUANABARA S.A.
31895683,BCO INDUSTRIAL DO BRASIL S.A.,604,BANCO INDUSTRIAL DO BRASIL S.A.
32062580,BCO UBS BRASIL,505,BANCO UBS (BRASIL) S.A.
